l.bankssts
l.caudalanteriorcingulate
l.caudalmiddlefrontal
l.cuneus
l.entorhinal
l.fusiform
l.inferiorparietal
l.inferiortemporal
l.isthmuscingulate
l.lateraloccipital
l.lateralorbitofrontal
l.lingual
l.medialorbitofrontal
l.middletemporal
l.parahippocampal
l.paracentral
l.parsopercularis
l.parsorbitalis
l.parstriangularis
l.pericalcarine
l.postcentral
l.posteriorcingulate
l.precentral
l.precuneus
l.rostralanteriorcingulate
l.rostralmiddlefrontal
l.superiorfrontal
l.superiorparietal
l.superiortemporal
l.supramarginal
l.frontalpole
l.temporalpole
l.transversetemporal
l.insula
r.bankssts
r.caudalanteriorcingulate
r.caudalmiddlefrontal
r.cuneus
r.entorhinal
r.fusiform
r.inferiorparietal
r.inferiortemporal
r.isthmuscingulate
r.lateraloccipital
r.lateralorbitofrontal
r.lingual
r.medialorbitofrontal
r.middletemporal
r.parahippocampal
r.paracentral
r.parsopercularis
r.parsorbitalis
r.parstriangularis
r.pericalcarine
r.postcentral
r.posteriorcingulate
r.precentral
r.precuneus
r.rostralanteriorcingulate
r.rostralmiddlefrontal
r.superiorfrontal
r.superiorparietal
r.superiortemporal
r.supramarginal
r.frontalpole
r.temporalpole
r.transversetemporal
r.insula
